编码:  --------------------------- 000300 --------------  美联储突然宣布缩表.

缺口: 

日期        总成交量 总成交额  O        C        H        L        涨跌幅 沪股通   深港通

05.07(周一) 8729万   1263.55亿 3782.54  3834.19  3834.59  3776.03  +1.58% +17.1亿  +11.4亿  高开震荡暴涨.

05.09(周三) 6671万   923.23亿  3876.13  3871.62  3878.94  3855.74  -0.18% +8.35亿  +14.5亿  低开震荡收跌.

05.08(周二) 9422万   1354.46亿 3834.61  3878.68  3892.07  3833.73  +1.16% +14.9亿  +6.00亿  平开震荡大涨.

05.07(周一) 8729万   1263.55亿 3782.54  3834.19  3834.59  3776.03  +1.58% +17.1亿  +11.4亿  高开震荡暴涨.

05.04(周五) 7155万   983.15 亿 3784.32  3774.60  3801.52  3770.94  -0.49% -4.09亿  -7.87亿  低开震荡收跌.

05.03(周四) 9396万   1227.40亿 3757.17  3793.00  3797.53  3732.37  +0.78% +5.45亿  +0.91亿  低开探底反弹震荡收涨. 振幅较大， 达1.5%左右

05.02(周三) 8330万   1200.83亿 3769.93  3763.65  3787.30  3744.55  +0.18% +23.9亿  +23.4亿  高开震荡收涨.

04.27(周五) 8953万   1421.14亿 3771.04  3756.88  3776.98  3714.64  +0.04% +28.8亿  -2.02亿  高开震荡微涨..

04.26(周四) 8715万   1257.72亿 3823.39  3755.49  3828.71  3744.89  -1.91% +1.62亿  -32.0亿  低开震荡暴跌.

04.25(周三) 7817万   1057.50亿 3824.59  3828.70  3838.69  3817.03  -0.38% +10.7亿  +4.07亿  低开震荡收跌.

04.24(周二) 1.14亿   1457.01亿 3769.88  3843.49  3854.43  3769.88  +2.05% +24.3亿  +15.7亿  高开震荡大涨.

04.23(周一) 9036万   1117.63亿 3754.69  3766.33  3787.40  3735.18  +0.15% +14.5亿  +9.77亿  低开震荡微跌.

04.20(周五) 9928万   1235.51亿 3801.21  3760.85  3815.44  3750.10  -1.34% -7.54亿  -2.95亿  低开震荡大跌.

04.19(周四) 9905万   1275.20亿 3774.78  3811.84  3824.03  3767.80  +1.21% +35.1亿  +18.7亿  高开震荡大涨..

04.18(周三) 1.07亿   1430.78亿 3785.31  3766.28  3789.66  3708.11  +0.47% +40.4亿  +33.0亿  大幅高开震荡下跌反弹收涨.央行降准1%，释放4000亿

04.17(周二) 9061万   1265.19亿 3812.87  3748.64  3822.63  3745.44  -1.58% +11.6亿  -3.79亿  高开震荡大跌.

04.16(周一) 9922万   1315.67亿 3862.47  3808.86  3869.16  3789.61  -1.61% +13.9亿  +13.2亿  低开震荡放量大跌.

04.13(周五) 7154万   989.22亿  3920.74  3871.14  3929.95  3866.19  -0.71% +10.1亿  +14.0亿  大幅高开震荡收跌.

04.12(周四) 8270万   1080.76亿 3935.67  3898.64  3937.78  3896.18  -1.01% +15.4亿  +13.7亿  低开震荡大跌.

04.11(周三) 1.12亿   1399.89亿 3934.17  3938.34  3958.71  3924.96  +0.28% +2.48亿  +8.42亿  高开震荡收涨.

04.10(周二) 1.06亿   1379.41亿 3860.72  3927.17  3927.42  3851.80  +1.93% +26.4亿  +8.45亿  高开震荡大涨.补:3882.89缺口.

04.09(周一) 8411万   1181.67亿 3851.95  3852.93  3870.67  3827.41  -0.05% +24.0亿  +9.85亿  低开震荡微跌.

04.04(周三) 8873万   1315.93亿 3873.63  3854.86  3898.61  3852.50  -0.20% +8.16亿  +6.66亿  高开震荡收跌.

04.03(周二) 9514万   1320.50亿 3850.15  3862.48  3878.15  3839.93  -0.63% +24.6亿  -5.61亿  大幅低开震荡收跌. 下行缺口: 3882.89

04.02(周一) 1.11亿   1593.56亿 3897.01  3886.92  3937.02  3882.89  -0.30% +？亿    -？亿    微幅低开震荡收跌.

